25;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W;X;Y
K;11.0453;6.72501;16.1221;19.0499;16.1665;8.12172;17.5086;1.68915;8.37118;9.6917;0;11.0613;1.65818;5.09103;16.9695;6.76936;9.63327;16.4067;9.2439;8.19989;17.5196;17.2946;16.7626;6.00799;19.3355
L;16.7682;5.18437;14.9294;11.6913;18.8614;14.7749;4.00776;12.4615;8.46224;10.3226;11.0613;0;5.20768;1.41829;1.1818;16.4601;14.6987;12.1859;17.1399;1.85487;4.77975;10.205;11.8524;15.7402;17.1614
M;5.4544;8.75572;13.6052;6.54822;16.9745;1.3362;12.4351;11.8182;18.8065;12.3042;1.65818;5.20768;0;1.95164;16.2557;17.4954;10.3325;6.73541;8.98167;8.98892;16.7388;4.45088;11.8833;3.28413;10.3566
N;6.13765;11.4527;7.11883;16.9048;14.7121;8.51355;6.24635;11.4112;6.65751;9.49184;5.09103;1.41829;1.95164;0;13.1603;14.3343;5.97668;6.12977;14.0472;6.95943;12.1109;9.50639;11.842;12.4968;16.5152
O;13.3996;5.65119;12.2151;1.34781;9.67453;7.19705;16.4163;11.0831;10.7184;14.2825;16.9695;1.1818;16.2557;13.1603;0;8.63226;7.4191;4.84554;14.023;16.8065;3.10526;6.14904;14.9399;19.0934;1.95962
P;9.41235;7.63219;13.9775;13.6908;6.7854;15.8074;18.5502;7.17377;14.9627;9.14606;6.76936;16.4601;17.4954;14.3343;8.63226;0;17.2755;18.6795;18.0984;18.219;11.4149;15.5603;14.8626;12.1149;1.84536
Q;8.42976;14.1382;12.0185;19.7513;13.2343;6.47827;10.3831;4.5692;2.36402;16.8669;9.63327;14.6987;10.3325;5.97668;7.4191;17.2755;0;15.9443;8.78679;1.63967;16.9466;2.29173;13.1183;12.0189;3.26179
R;4.95531;15.845;14.1598;1.64166;5.06279;19.3239;2.88485;5.51728;12.0814;10.6402;16.4067;12.1859;6.73541;6.12977;4.84554;18.6795;15.9443;0;14.8523;9.95395;10.0068;4.59658;9.72209;8.23151;16.9116
S;15.8136;11.6335;17.961;12.432;17.3941;18.78;6.74874;17.9691;8.47357;11.6643;9.2439;17.1399;8.98167;14.0472;14.023;18.0984;8.78679;14.8523;0;1.68031;15.9111;1.55128;13.4251;1.21567;15.834
T;15.4704;4.29132;6.99033;11.1906;17.5827;17.1809;5.04645;11.4756;19.2417;8.31792;8.19989;1.85487;8.98892;6.95943;16.8065;18.219;1.63967;9.95395;1.68031;0;16.3364;6.27694;17.4579;6.1826;8.98071
U;4.92469;9.28812;18.5104;8.17988;14.5724;6.99962;8.62228;9.96942;5.15058;6.22219;17.5196;4.77975;16.7388;12.1109;3.10526;11.4149;16.9466;10.0068;15.9111;16.3364;0;11.7777;14.4944;17.0551;19.8874
V;14.205;10.4128;7.9609;4.20248;16.9552;3.53677;10.62;3.9855;10.732;9.41389;17.2946;10.205;4.45088;9.50639;6.14904;15.5603;2.29173;4.59658;1.55128;6.27694;11.7777;0;8.00648;15.8374;17.777
W;17.3198;7.42984;9.88802;17.0011;13.3051;19.4115;12.8087;18.3568;14.215;15.2349;16.7626;11.8524;11.8833;11.842;14.9399;14.8626;13.1183;9.72209;13.4251;17.4579;14.4944;8.00648;0;11.4355;1.89419
X;3.98831;14.3784;3.93913;6.17564;16.7456;8.96798;14.3927;9.04121;14.2339;17.745;6.00799;15.7402;3.28413;12.4968;19.0934;12.1149;12.0189;8.23151;1.21567;6.1826;17.0551;15.8374;11.4355;0;19.7181
Y;8.48606;5.59265;17.9737;5.94394;4.79928;6.87885;17.8645;2.57798;8.92067;5.94872;19.3355;17.1614;10.3566;16.5152;1.95962;1.84536;3.26179;16.9116;15.834;8.98071;19.8874;17.777;1.89419;19.7181;0
